1,Dry Beets,1
2,Fierce Greens,2
3,Heavy Chicken,2
4,Yummy Fruit,3
19,Jealous Burrito,9
20,Tall Pretzel,9
21,Embarrassed Bread,9
22,Purring Beets,9
23,Calm Carrots,10
24,Fierce Beef,10
25,Helpless Bread,10
26,Yummy Bread,10
27,Broken Beets,10
28,Quiet Honey,11
29,Crazy Fish,11
30,Depressed Beets,11
31,Sore Chicken,11
32,Disgusted Carrots,11
33,Tired Bread,11
34,Clumsy Chicken,11
36,Mute Beef,13
37,Grand Honey,13
38,Bland Burrito,13
39,Horrible Burrito,14
40,Bad Chicken,14
41,Thundering Carrots,15
42,Grubby Beef,15
43,Skinny Mushrooms,15
44,Repulsive Chicken,15
45,Bland Chicken,17
